iteration,node moved,to group,instantaneous gain,            accumulated gain,potential,abs gain %,yes verts,no verts,yes edges,            no edges,verts %,edges %,potential propor %,consults,performance %
19,29998,yes,154.85,3298.05,-23877515066.95,+0.00%,158458,158622,260320,265253,49.97%,                49.53%,49.95%,3,66.67%
20,33126,yes,172.95,3471.00,-23877514894.00,+0.00%,158459,158621,260323,265250,49.97%,                49.53%,49.95%,3,66.67%
21,35156,yes,155.05,3626.05,-23877514738.95,+0.00%,158460,158620,260437,265156,49.97%,                49.55%,49.95%,3,66.67%
22,37774,yes,147.15,3773.20,-23877514591.80,+0.00%,158461,158619,260458,265139,49.98%,                49.55%,49.95%,3,66.67%
23,40548,yes,148.25,3921.45,-23877514443.55,+0.00%,158462,158618,260465,265130,49.98%,                49.56%,49.95%,2,100.00%
24,46588,yes,145.35,4066.80,-23877514298.20,+0.00%,158463,158617,260469,265127,49.98%,                49.56%,49.95%,4,50.00%
25,47489,yes,134.45,4201.25,-23877514163.75,+0.00%,158464,158616,260482,265114,49.98%,                49.56%,49.95%,2,100.00%
26,56260,yes,146.55,4347.80,-23877514017.20,+0.00%,158465,158615,260507,265080,49.98%,                49.56%,49.95%,4,50.00%
27,58212,yes,142.65,4490.45,-23877513874.55,+0.00%,158466,158614,260513,265079,49.98%,                49.57%,49.95%,3,66.67%
28,63386,yes,139.75,4630.20,-23877513734.80,+0.00%,158467,158613,260519,265076,49.98%,                49.57%,49.95%,2,100.00%
29,66243,yes,138.85,4769.05,-23877513595.95,+0.00%,158468,158612,260522,265075,49.98%,                49.57%,49.95%,2,100.00%
30,73133,yes,132.95,4902.00,-23877513463.00,+0.00%,158469,158611,260525,265075,49.98%,                49.57%,49.96%,5,40.00%
31,74815,yes,135.05,5037.05,-23877513327.95,+0.00%,158470,158610,260528,265071,49.98%,                49.57%,49.96%,2,100.00%
32,77551,yes,132.15,5169.20,-23877513195.80,+0.00%,158471,158609,260535,265067,49.98%,                49.57%,49.96%,3,66.67%
33,81806,yes,131.25,5300.45,-23877513064.55,+0.00%,158472,158608,260550,265054,49.98%,                49.57%,49.96%,3,66.67%
34,86291,yes,128.35,5428.80,-23877512936.20,+0.00%,158473,158607,260554,265053,49.98%,                49.57%,49.96%,6,33.33%
35,90680,yes,118.45,5547.25,-23877512817.75,+0.00%,158474,158606,260560,265049,49.98%,                49.57%,49.96%,2,100.00%
36,95874,yes,117.55,5664.80,-23877512700.20,+0.00%,158475,158605,260575,265028,49.98%,                49.58%,49.96%,5,40.00%
37,97590,yes,129.65,5794.45,-23877512570.55,+0.00%,158476,158604,260585,265013,49.98%,                49.58%,49.96%,2,100.00%
38,97758,yes,115.75,5910.20,-23877512454.80,+0.00%,158477,158603,260620,264987,49.98%,                49.58%,49.96%,3,66.67%
39,110696,yes,117.85,6028.05,-23877512336.95,+0.00%,158478,158602,260640,264964,49.98%,                49.59%,49.96%,3,66.67%
40,122675,yes,118.95,6147.00,-23877512218.00,+0.00%,158479,158601,260641,264964,49.98%,                49.59%,49.96%,4,50.00%
41,166307,yes,109.05,6256.05,-23877512108.95,+0.00%,158480,158600,260645,264964,49.98%,                49.59%,49.96%,5,40.00%
42,173255,yes,116.15,6372.20,-23877511992.80,+0.00%,158481,158599,260675,264930,49.98%,                49.60%,49.96%,2,100.00%
43,173256,yes,116.25,6488.45,-23877511876.55,+0.00%,158482,158598,260681,264929,49.98%,                49.60%,49.96%,2,100.00%
44,193261,yes,109.35,6597.80,-23877511767.20,+0.00%,158483,158597,260688,264929,49.98%,                49.60%,49.96%,3,66.67%
45,198462,yes,104.45,6702.25,-23877511662.75,+0.00%,158484,158596,260690,264929,49.98%,                49.60%,49.96%,3,66.67%
46,229958,yes,105.55,6807.80,-23877511557.20,+0.00%,158485,158595,260694,264924,49.98%,                49.60%,49.97%,3,66.67%
47,248344,yes,102.65,6910.45,-23877511454.55,+0.00%,158486,158594,260696,264924,49.98%,                49.60%,49.97%,2,100.00%
48,253221,yes,102.75,7013.20,-23877511351.80,+0.00%,158487,158593,260700,264921,49.98%,                49.60%,49.97%,2,100.00%
49,268421,yes,99.85,7113.05,-23877511251.95,+0.00%,158488,158592,260705,264919,49.98%,                49.60%,49.97%,3,66.67%
50,321570,yes,97.95,7211.00,-23877511154.00,+0.00%,158489,158591,260709,264917,49.98%,                49.60%,49.97%,2,100.00%
51,321680,yes,95.05,7306.05,-23877511058.95,+0.00%,158490,158590,260712,264916,49.98%,                49.60%,49.97%,2,100.00%
52,6786,yes,103.15,7409.20,-23877510955.80,+0.00%,158491,158589,260715,264914,49.98%,                49.60%,49.97%,2,100.00%
53,10077,yes,91.25,7500.45,-23877510864.55,+0.00%,158492,158588,260753,264887,49.98%,                49.61%,49.97%,2,100.00%
54,44724,yes,78.35,7578.80,-23877510786.20,+0.00%,158493,158587,260760,264881,49.99%,                49.61%,49.97%,4,50.00%
55,75502,yes,88.45,7667.25,-23877510697.75,+0.00%,158494,158586,260767,264864,49.99%,                49.61%,49.97%,4,50.00%
56,108790,yes,88.55,7755.80,-23877510609.20,+0.00%,158495,158585,260769,264864,49.99%,                49.61%,49.97%,6,33.33%
57,139006,yes,85.65,7841.45,-23877510523.55,+0.00%,158496,158584,260778,264859,49.99%,                49.61%,49.97%,3,66.67%
58,3,yes,78.75,7920.20,-23877510444.80,+0.00%,158497,158583,260781,264859,49.99%,                49.61%,49.97%,4,50.00%
59,10816,yes,91.85,8012.05,-23877510352.95,+0.00%,158498,158582,260786,264852,49.99%,                49.61%,49.97%,2,100.00%
60,15821,yes,64.95,8077.00,-23877510288.00,+0.00%,158499,158581,260812,264839,49.99%,                49.62%,49.97%,2,100.00%
61,21946,yes,83.05,8160.05,-23877510204.95,+0.00%,158500,158580,260844,264795,49.99%,                49.62%,49.97%,3,66.67%
62,34140,yes,74.15,8234.20,-23877510130.80,+0.00%,158501,158579,260860,264787,49.99%,                49.63%,49.98%,4,50.00%
63,56565,yes,76.25,8310.45,-23877510054.55,+0.00%,158502,158578,260900,264748,49.99%,                49.63%,49.98%,2,100.00%
64,59273,yes,78.35,8388.80,-23877509976.20,+0.00%,158503,158577,260911,264742,49.99%,                49.64%,49.98%,3,66.67%
65,117331,yes,69.45,8458.25,-23877509906.75,+0.00%,158504,158576,260926,264736,49.99%,                49.64%,49.98%,3,66.67%
66,4,yes,64.55,8522.80,-23877509842.20,+0.00%,158505,158575,260932,264732,49.99%,                49.64%,49.98%,2,100.00%
67,11,yes,64.65,8587.45,-23877509777.55,+0.00%,158506,158574,260932,264731,49.99%,                49.64%,49.98%,2,100.00%
68,10,yes,63.75,8651.20,-23877509713.80,+0.00%,158507,158573,260934,264730,49.99%,                49.64%,49.98%,2,100.00%
69,61,yes,63.85,8715.05,-23877509649.95,+0.00%,158508,158572,260938,264728,49.99%,                49.64%,49.98%,3,66.67%
70,369,yes,59.95,8775.00,-23877509590.00,+0.00%,158509,158571,260963,264707,49.99%,                49.64%,49.98%,3,66.67%
71,35,yes,56.05,8831.05,-23877509533.95,+0.00%,158510,158570,260965,264707,49.99%,                49.64%,49.98%,4,50.00%
72,22378,yes,49.15,8880.20,-23877509484.80,+0.00%,158511,158569,260966,264706,49.99%,                49.64%,49.98%,4,50.00%
73,29,yes,53.25,8933.45,-23877509431.55,+0.00%,158512,158568,260972,264695,49.99%,                49.65%,49.98%,6,33.33%
74,348,yes,52.35,8985.80,-23877509379.20,+0.00%,158513,158567,260974,264694,49.99%,                49.65%,49.98%,2,100.00%
75,39,yes,49.45,9035.25,-23877509329.75,+0.00%,158514,158566,260976,264694,49.99%,                49.65%,49.98%,4,50.00%
76,274,yes,46.55,9081.80,-23877509283.20,+0.00%,158515,158565,260977,264694,49.99%,                49.65%,49.98%,2,100.00%
77,426,yes,44.65,9126.45,-23877509238.55,+0.00%,158516,158564,260978,264693,49.99%,                49.65%,49.98%,2,100.00%
78,2527,yes,43.75,9170.20,-23877509194.80,+0.00%,158517,158563,260993,264678,49.99%,                49.65%,49.99%,2,100.00%
79,33969,yes,24.85,9195.05,-23877509169.95,+0.00%,158518,158562,260994,264678,49.99%,                49.65%,49.99%,3,66.67%
80,45116,yes,48.95,9244.00,-23877509121.00,+0.00%,158519,158561,261018,264638,49.99%,                49.66%,49.99%,2,100.00%
81,55007,yes,24.05,9268.05,-23877509096.95,+0.00%,158520,158560,261080,264586,49.99%,                49.67%,49.99%,3,66.67%
82,57571,yes,43.15,9311.20,-23877509053.80,+0.00%,158521,158559,261133,264520,49.99%,                49.68%,49.99%,2,100.00%
83,63075,yes,23.25,9334.45,-23877509030.55,+0.00%,158522,158558,261282,264379,49.99%,                49.71%,49.99%,2,100.00%
84,88279,yes,27.35,9361.80,-23877509003.20,+0.00%,158523,158557,261305,264346,49.99%,                49.71%,49.99%,5,40.00%
85,101353,yes,39.45,9401.25,-23877508963.75,+0.00%,158524,158556,261316,264331,49.99%,                49.71%,49.99%,3,66.67%
86,197599,yes,27.55,9428.80,-23877508936.20,+0.00%,158525,158555,261354,264303,50.00%,                49.72%,49.99%,7,28.57%
87,209324,yes,26.65,9455.45,-23877508909.55,+0.00%,158526,158554,261366,264291,50.00%,                49.72%,49.99%,2,100.00%
88,216914,yes,29.75,9485.20,-23877508879.80,+0.00%,158527,158553,261373,264285,50.00%,                49.72%,49.99%,2,100.00%
89,219689,yes,25.85,9511.05,-23877508853.95,+0.00%,158528,158552,261388,264276,50.00%,                49.73%,49.99%,2,100.00%
90,237232,yes,29.95,9541.00,-23877508824.00,+0.00%,158529,158551,261394,264274,50.00%,                49.73%,49.99%,3,66.67%
91,243226,yes,21.05,9562.05,-23877508802.95,+0.00%,158530,158550,261406,264272,50.00%,                49.73%,49.99%,2,100.00%
92,266105,yes,19.15,9581.20,-23877508783.80,+0.00%,158531,158549,261409,264272,50.00%,                49.73%,49.99%,3,66.67%
93,381075,yes,18.25,9599.45,-23877508765.55,+0.00%,158532,158548,261418,264266,50.00%,                49.73%,49.99%,6,33.33%
94,381077,yes,18.35,9617.80,-23877508747.20,+0.00%,158533,158547,261423,264265,50.00%,                49.73%,50.00%,3,66.67%
95,384514,yes,16.45,9634.25,-23877508730.75,+0.00%,158534,158546,261429,264265,50.00%,                49.73%,50.00%,4,50.00%
96,403092,yes,12.55,9646.80,-23877508718.20,+0.00%,158535,158545,261435,264265,50.00%,                49.73%,50.00%,4,50.00%
97,29902,yes,7.65,9654.45,-23877508710.55,+0.00%,158536,158544,261439,264265,50.00%,                49.73%,50.00%,5,40.00%
98,77105,yes,1.75,9656.20,-23877508708.80,+0.00%,158537,158543,261440,264265,50.00%,                49.73%,50.00%,2,100.00%
99,127052,yes,2.85,9659.05,-23877508705.95,+0.00%,158538,158542,261443,264259,50.00%,                49.73%,50.00%,2,100.00%
100,129843,yes,3.95,9663.00,-23877508702.00,+0.00%,158539,158541,261457,264245,50.00%,                49.73%,50.00%,2,100.00%
101,129845,yes,4.05,9667.05,-23877508697.95,+0.00%,158540,158540,261462,264243,50.00%,                49.74%,50.00%,3,66.67%
102,129847,yes,4.15,9671.20,-23877508693.80,+0.00%,158541,158539,261468,264242,50.00%,                49.74%,50.00%,3,66.67%
103,140711,no,3.85,9675.05,-23877508689.95,+0.00%,158542,158538,261475,264242,50.00%,                49.74%,50.00%,2,100.00%
104,12467,yes,5.15,9680.20,-23877508684.80,+0.00%,158541,158539,261474,264244,50.00%,                49.74%,50.00%,8,25.00%
105,17356,yes,2.25,9682.45,-23877508682.55,+0.00%,158542,158538,261485,264241,50.00%,                49.74%,50.00%,2,100.00%
106,27035,no,3.75,9686.20,-23877508678.80,+0.00%,158543,158537,261507,264226,50.00%,                49.74%,50.00%,2,100.00%
107,27502,no,0.85,9687.05,-23877508677.95,+0.00%,158542,158538,261506,264226,50.00%,                49.74%,50.00%,2,100.00%
108,98,no,1.95,9689.00,-23877508676.00,+0.00%,158541,158539,261504,264226,50.00%,                49.74%,50.00%,4,50.00%
109,75,yes,0.05,9689.05,-23877508675.95,+0.00%,158540,158540,261504,264227,50.00%,                49.74%,50.00%,7,28.57%
110,19952,yes,1.15,9690.20,-23877508674.80,+0.00%,158541,158539,261508,264224,50.00%,                49.74%,50.00%,3,66.67%
111,22486,no,0.85,9691.05,-23877508673.95,+0.00%,158542,158538,261512,264224,50.00%,                49.74%,50.00%,4,50.00%
112,10823,yes,0.15,9691.20,-23877508673.80,+0.00%,158541,158539,261510,264224,50.00%,                49.74%,50.00%,10,20.00%
113,25458,yes,3.25,9694.45,-23877508670.55,+0.00%,158542,158538,261523,264214,50.00%,                49.74%,50.00%,3,66.67%
114,40922,no,4.75,9699.20,-23877508665.80,+0.00%,158543,158537,261548,264197,50.00%,                49.75%,50.00%,3,66.67%
115,57500,no,1.85,9701.05,-23877508663.95,+0.00%,158542,158538,261521,264224,50.00%,                49.74%,50.00%,3,66.67%
116,57917,yes,7.15,9708.20,-23877508656.80,+0.00%,158541,158539,261474,264270,50.00%,                49.73%,50.00%,2,100.00%
117,107759,no,0.85,9709.05,-23877508655.95,+0.00%,158542,158538,261493,264261,50.00%,                49.74%,50.00%,8,25.00%
118,124987,yes,2.15,9711.20,-23877508653.80,+0.00%,158541,158539,261487,264265,50.00%,                49.74%,50.00%,4,50.00%
119,158877,no,0.85,9712.05,-23877508652.95,+0.00%,158542,158538,261495,264262,50.00%,                49.74%,50.00%,2,100.00%
120,166063,yes,0.15,9712.20,-23877508652.80,+0.00%,158541,158539,261493,264262,50.00%,                49.74%,50.00%,2,100.00%
121,237087,no,4.85,9717.05,-23877508647.95,+0.00%,158542,158538,261497,264261,50.00%,                49.74%,50.00%,2,100.00%
122,237088,no,3.95,9721.00,-23877508644.00,+0.00%,158541,158539,261495,264265,50.00%,                49.74%,50.00%,2,100.00%
123,2503,yes,0.05,9721.05,-23877508643.95,+0.00%,158540,158540,261494,264269,50.00%,                49.74%,50.00%,3,66.67%
124,2122,no,2.95,9724.00,-23877508641.00,+0.00%,158541,158539,261495,264269,50.00%,                49.74%,50.00%,4,50.00%
125,55032,no,2.05,9726.05,-23877508638.95,+0.00%,158540,158540,261495,264271,50.00%,                49.74%,50.00%,8,25.00%
126,71596,no,2.15,9728.20,-23877508636.80,+0.00%,158539,158541,261488,264281,50.00%,                49.73%,50.00%,2,100.00%
127,81838,yes,1.85,9730.05,-23877508634.95,+0.00%,158538,158542,261486,264288,50.00%,                49.73%,50.00%,2,100.00%
128,31301,yes,3.95,9734.00,-23877508631.00,+0.00%,158539,158541,261486,264287,50.00%,                49.73%,50.00%,6,33.33%
129,32740,yes,1.05,9735.05,-23877508629.95,+0.00%,158540,158540,261507,264269,50.00%,                49.74%,50.00%,2,100.00%
130,437,yes,0.15,9735.20,-23877508629.80,+0.00%,158541,158539,261511,264267,50.00%,                49.74%,50.00%,4,50.00%
131,10244,yes,4.25,9739.45,-23877508625.55,+0.00%,158542,158538,261515,264266,50.00%,                49.74%,50.00%,3,66.67%
132,108,no,4.75,9744.20,-23877508620.80,+0.00%,158543,158537,261530,264260,50.00%,                49.74%,50.00%,2,100.00%
133,2841,no,11.85,9756.05,-23877508608.95,+0.00%,158542,158538,261529,264261,50.00%,                49.74%,50.00%,3,66.67%
134,304,no,1.95,9758.00,-23877508607.00,+0.00%,158541,158539,261514,264285,50.00%,                49.74%,50.00%,9,22.22%
135,2825,yes,0.05,9758.05,-23877508606.95,+0.00%,158540,158540,261511,264289,50.00%,                49.74%,50.00%,5,40.00%
136,294,no,3.95,9762.00,-23877508603.00,+0.00%,158541,158539,261514,264287,50.00%,                49.74%,50.00%,7,28.57%
137,473,no,0.05,9762.05,-23877508602.95,+0.00%,158540,158540,261512,264292,50.00%,                49.74%,50.00%,4,50.00%
138,703,yes,1.95,9764.00,-23877508601.00,+0.00%,158539,158541,261508,264297,50.00%,                49.73%,50.00%,3,66.67%
139,135,no,0.05,9764.05,-23877508600.95,+0.00%,158540,158540,261510,264296,50.00%,                49.74%,50.00%,3,66.67%
140,672,yes,2.95,9767.00,-23877508598.00,+0.00%,158539,158541,261510,264297,50.00%,                49.73%,50.00%,2,100.00%
141,3768,no,9.05,9776.05,-23877508588.95,+0.00%,158540,158540,261513,264296,50.00%,                49.74%,50.00%,6,33.33%
142,5911,yes,12.95,9789.00,-23877508576.00,+0.00%,158539,158541,261500,264319,50.00%,                49.73%,50.00%,4,50.00%
143,294499,no,1.05,9790.05,-23877508574.95,+0.00%,158540,158540,261525,264306,50.00%,                49.74%,50.00%,12,16.67%
144,354,no,7.15,9797.20,-23877508567.80,+0.00%,158539,158541,261525,264308,50.00%,                49.74%,50.00%,3,66.67%
145,407,yes,5.85,9803.05,-23877508561.95,+0.00%,158538,158542,261514,264329,50.00%,                49.73%,50.00%,2,100.00%
146,1819,yes,0.95,9804.00,-23877508561.00,+0.00%,158539,158541,261521,264325,50.00%,                49.73%,50.00%,4,50.00%
147,8880,no,3.05,9807.05,-23877508557.95,+0.00%,158540,158540,261522,264324,50.00%,                49.73%,50.00%,2,100.00%
148,153,no,0.15,9807.20,-23877508557.80,+0.00%,158539,158541,261485,264365,50.00%,                49.73%,50.00%,5,40.00%
149,154,yes,1.85,9809.05,-23877508555.95,+0.00%,158538,158542,261484,264369,50.00%,                49.73%,50.00%,2,100.00%
150,1920,no,0.15,9809.20,-23877508555.80,+0.00%,158539,158541,261488,264364,50.00%,                49.73%,50.00%,2,100.00%
151,142,no,1.25,9810.45,-23877508554.55,+0.00%,158538,158542,261486,264369,50.00%,                49.73%,50.00%,4,50.00%
152,9794,yes,3.75,9814.20,-23877508550.80,+0.00%,158537,158543,261484,264377,50.00%,                49.72%,50.00%,3,66.67%
153,24663,yes,1.85,9816.05,-23877508548.95,+0.00%,158538,158542,261502,264358,50.00%,                49.73%,50.00%,3,66.67%
154,26270,yes,6.95,9823.00,-23877508542.00,+0.00%,158539,158541,261502,264357,50.00%,                49.73%,50.00%,3,66.67%
155,54826,yes,5.05,9828.05,-23877508536.95,+0.00%,158540,158540,261522,264343,50.00%,                49.73%,50.00%,2,100.00%
156,96331,yes,3.15,9831.20,-23877508533.80,+0.00%,158541,158539,261533,264338,50.00%,                49.73%,50.00%,3,66.67%
157,353,no,4.85,9836.05,-23877508528.95,+0.00%,158542,158538,261541,264336,50.00%,                49.73%,50.00%,5,40.00%
158,414,no,7.95,9844.00,-23877508521.00,+0.00%,158541,158539,261532,264347,50.00%,                49.73%,50.00%,3,66.67%
159,744,no,7.05,9851.05,-23877508513.95,+0.00%,158540,158540,261518,264368,50.00%,                49.73%,50.00%,6,33.33%
160,1127,no,9.15,9860.20,-23877508504.80,+0.00%,158539,158541,261496,264398,50.00%,                49.72%,50.00%,4,50.00%
161,624,yes,1.85,9862.05,-23877508502.95,+0.00%,158538,158542,261495,264411,50.00%,                49.72%,50.00%,7,28.57%
162,5473,no,0.15,9862.20,-23877508502.80,+0.00%,158539,158541,261497,264408,50.00%,                49.72%,50.00%,4,50.00%
163,300,yes,1.85,9864.05,-23877508500.95,+0.00%,158538,158542,261497,264411,50.00%,                49.72%,50.00%,5,40.00%
164,336,yes,4.95,9869.00,-23877508496.00,+0.00%,158539,158541,261497,264410,50.00%,                49.72%,50.00%,4,50.00%
165,16651,yes,0.05,9869.05,-23877508495.95,+0.00%,158540,158540,261501,264410,50.00%,                49.72%,50.00%,4,50.00%
166,85936,no,0.95,9870.00,-23877508495.00,+0.00%,158541,158539,261502,264410,50.00%,                49.72%,50.00%,5,40.00%
167,156,yes,1.05,9871.05,-23877508493.95,+0.00%,158540,158540,261499,264413,50.00%,                49.72%,50.00%,2,100.00%
168,1810,no,2.95,9874.00,-23877508491.00,+0.00%,158541,158539,261502,264412,50.00%,                49.72%,50.00%,2,100.00%
169,19364,no,0.05,9874.05,-23877508490.95,+0.00%,158540,158540,261501,264415,50.00%,                49.72%,50.00%,2,100.00%
170,20708,yes,3.95,9878.00,-23877508487.00,+0.00%,158539,158541,261499,264418,50.00%,                49.72%,50.00%,2,100.00%
171,48019,no,0.05,9878.05,-23877508486.95,+0.00%,158540,158540,261504,264416,50.00%,                49.72%,50.00%,2,100.00%
172,54269,yes,2.95,9881.00,-23877508484.00,+0.00%,158539,158541,261497,264424,50.00%,                49.72%,50.00%,10,20.00%
173,199594,no,0.05,9881.05,-23877508483.95,+0.00%,158540,158540,261507,264416,50.00%,                49.72%,50.00%,2,100.00%
174,178,yes,7.95,9889.00,-23877508476.00,+0.00%,158539,158541,261506,264418,50.00%,                49.72%,50.00%,2,100.00%
175,3176,yes,0.05,9889.05,-23877508475.95,+0.00%,158540,158540,261520,264411,50.00%,                49.73%,50.00%,8,25.00%
176,3303,yes,4.15,9893.20,-23877508471.80,+0.00%,158541,158539,261521,264411,50.00%,                49.73%,50.00%,3,66.67%
177,3305,yes,4.25,9897.45,-23877508467.55,+0.00%,158542,158538,261530,264409,50.00%,                49.73%,50.00%,3,66.67%
178,3306,yes,4.35,9901.80,-23877508463.20,+0.00%,158543,158537,261542,264406,50.00%,                49.73%,50.00%,2,100.00%
179,6249,no,6.65,9908.45,-23877508456.55,+0.00%,158544,158536,261553,264406,50.00%,                49.73%,50.00%,2,100.00%
180,95284,no,13.75,9922.20,-23877508442.80,+0.00%,158543,158537,261521,264438,50.00%,                49.72%,50.00%,2,100.00%
181,133455,no,4.85,9927.05,-23877508437.95,+0.00%,158542,158538,261515,264453,50.00%,                49.72%,50.00%,2,100.00%
182,133760,no,3.95,9931.00,-23877508434.00,+0.00%,158541,158539,261513,264457,50.00%,                49.72%,50.00%,2,100.00%
183,181,no,1.05,9932.05,-23877508432.95,+0.00%,158540,158540,261512,264461,50.00%,                49.72%,50.00%,7,28.57%
184,8285,yes,6.95,9939.00,-23877508426.00,+0.00%,158539,158541,261512,264463,50.00%,                49.72%,50.00%,5,40.00%
185,189,no,0.05,9939.05,-23877508425.95,+0.00%,158540,158540,261519,264462,50.00%,                49.72%,50.00%,3,66.67%
186,15943,yes,1.95,9941.00,-23877508424.00,+0.00%,158539,158541,261517,264465,50.00%,                49.72%,50.00%,4,50.00%
187,106999,no,0.05,9941.05,-23877508423.95,+0.00%,158540,158540,261522,264461,50.00%,                49.72%,50.00%,2,100.00%
188,198,yes,1.95,9943.00,-23877508422.00,+0.00%,158539,158541,261518,264466,50.00%,                49.72%,50.00%,3,66.67%
189,3355,yes,2.05,9945.05,-23877508419.95,+0.00%,158540,158540,261520,264465,50.00%,                49.72%,50.00%,4,50.00%
190,16486,no,3.95,9949.00,-23877508416.00,+0.00%,158541,158539,261523,264465,50.00%,                49.72%,50.00%,5,40.00%
191,64751,no,2.05,9951.05,-23877508413.95,+0.00%,158540,158540,261523,264468,50.00%,                49.72%,50.00%,4,50.00%
192,140665,yes,2.95,9954.00,-23877508411.00,+0.00%,158539,158541,261523,264471,50.00%,                49.72%,50.00%,2,100.00%
193,140666,yes,1.05,9955.05,-23877508409.95,+0.00%,158540,158540,261529,264467,50.00%,                49.72%,50.00%,2,100.00%
194,174163,no,0.95,9956.00,-23877508409.00,+0.00%,158541,158539,261537,264461,50.00%,                49.72%,50.00%,3,66.67%
195,29073,no,0.05,9956.05,-23877508408.95,+0.00%,158540,158540,261536,264462,50.00%,                49.72%,50.00%,6,33.33%
196,39231,no,4.15,9960.20,-23877508404.80,+0.00%,158539,158541,261523,264476,50.00%,                49.72%,50.00%,2,100.00%
197,39237,no,0.25,9960.45,-23877508404.55,+0.00%,158538,158542,261485,264521,50.00%,                49.71%,50.00%,2,100.00%
198,40365,yes,0.75,9961.20,-23877508403.80,+0.00%,158537,158543,261478,264533,50.00%,                49.71%,50.00%,2,100.00%
199,50869,yes,3.85,9965.05,-23877508399.95,+0.00%,158538,158542,261480,264527,50.00%,                49.71%,50.00%,2,100.00%
200,54809,yes,1.95,9967.00,-23877508398.00,+0.00%,158539,158541,261520,264488,50.00%,                49.72%,50.00%,3,66.67%
201,66339,no,6.05,9973.05,-23877508391.95,+0.00%,158540,158540,261524,264485,50.00%,                49.72%,50.00%,2,100.00%
202,66340,no,3.15,9976.20,-23877508388.80,+0.00%,158539,158541,261520,264496,50.00%,                49.72%,50.00%,2,100.00%
203,71372,no,0.25,9976.45,-23877508388.55,+0.00%,158538,158542,261517,264505,50.00%,                49.72%,50.00%,2,100.00%
204,93177,yes,2.75,9979.20,-23877508385.80,+0.00%,158537,158543,261446,264581,50.00%,                49.70%,50.00%,2,100.00%
205,143937,yes,3.85,9983.05,-23877508381.95,+0.00%,158538,158542,261464,264561,50.00%,                49.71%,50.00%,3,66.67%
206,162492,no,4.15,9987.20,-23877508377.80,+0.00%,158539,158541,261467,264559,50.00%,                49.71%,50.00%,3,66.67%
207,177636,yes,3.85,9991.05,-23877508373.95,+0.00%,158538,158542,261466,264567,50.00%,                49.71%,50.00%,5,40.00%
208,195464,yes,0.95,9992.00,-23877508373.00,+0.00%,158539,158541,261476,264558,50.00%,                49.71%,50.00%,2,100.00%
209,226177,no,6.05,9998.05,-23877508366.95,+0.00%,158540,158540,261483,264551,50.00%,                49.71%,50.00%,2,100.00%
210,292309,yes,3.95,10002.00,-23877508363.00,+0.00%,158539,158541,261483,264558,50.00%,                49.71%,50.00%,7,28.57%
211,295534,yes,4.05,10006.05,-23877508358.95,+0.00%,158540,158540,261491,264553,50.00%,                49.71%,50.00%,2,100.00%
