01,04,02,03,05,06,07,09,10,08,11,26,30,15,23,12,13,19,16,14,18,17,20,21,22,24,27,25,28,29,53,54,55,31,32,33,34,36,43,51,52,56,58,59,35,37,38,39,41,40,50,42,44,45,46,47,48,49,57,61,60,62
in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,in,in,in,out,out,in,out,out,out,out,out,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,in,out,out,out,out,out,in,out,out,out
in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,in,in,in,out,out,in,out,out,out,out,out,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,in,out,out,out,out,out,in,out,out,out
in,in,in,in,in,out,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,in,in,in,out,out,in,out,out,out,out,out,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,in,out,out,out,out,out,in,out,out,out
in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,in,in,in,out,out,in,out,out,out,out,out,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,in,out,out,out,out,out,in,out,out,out
in,in,in,in,in,in,in,out,out,in,out,out,out,out,out,out,out,out,out,out,out,out,in,in,in,out,out,in,out,out,out,out,out,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,in,out,out,out,out,out,in,out,out,out
in,in,in,in,in,in,in,in,out,in,out,out,out,out,out,out,out,out,out,out,out,out,in,in,in,out,out,in,out,out,out,out,out,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,in,out,out,out,out,out,in,out,out,out
in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,in,in,in,out,out,in,out,out,out,out,out,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,in,out,out,out,out,out,in,out,out,out
in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,in,in,in,out,out,in,out,out,out,out,out,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,in,out,out,out,out,out,in,out,out,out
in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,in,out,out,out,out,out,out,in,in,in,out,out,in,out,out,out,out,out,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,in,out,out,out,out,out,in,out,out,out
in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,in,in,out,out,out,out,out,in,in,in,out,out,in,out,out,out,out,out,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,in,out,out,out,out,out,in,out,out,out
in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,in,in,in,out,out,out,out,in,in,in,out,out,in,out,out,out,out,out,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,in,out,out,out,out,out,in,out,out,out
in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,in,in,in,in,out,out,out,in,in,in,out,out,in,out,out,out,out,out,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,in,out,out,out,out,out,in,out,out,out
in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,in,in,in,in,out,out,in,in,in,in,out,out,in,out,out,out,out,out,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,in,out,out,out,out,out,in,out,out,out
in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,in,in,in,in,in,out,in,in,in,in,out,out,in,out,out,out,out,out,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,in,out,out,out,out,out,in,out,out,out
in,in,in,in,in,in,in,in,in,in,in,out,out,in,out,in,in,in,in,in,out,in,in,in,in,out,out,in,out,out,out,out,out,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,in,out,out,out,out,out,in,out,out,out
in,in,in,in,in,in,in,in,in,in,in,out,out,in,out,in,in,in,in,in,in,in,in,in,in,out,out,in,out,out,out,out,out,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,in,out,out,out,out,out,in,out,out,out
in,in,in,in,in,in,in,in,in,in,in,out,out,in,in,in,in,in,in,in,in,in,in,in,in,out,out,in,out,out,out,out,out,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,in,out,out,out,out,out,in,out,out,out
in,in,in,in,in,in,in,in,in,in,in,out,out,in,in,in,in,in,in,in,in,in,in,in,in,out,out,in,out,out,out,out,out,in,out,out,out,out,out,out,out,in,out,out,out,out,out,out,out,out,out,out,in,out,out,out,out,out,in,out,out,out
in,in,in,in,in,in,in,in,in,in,in,out,out,in,in,in,in,in,in,in,in,in,in,in,in,in,out,in,out,out,out,out,out,in,out,out,out,out,out,out,out,in,out,out,out,out,out,out,out,out,out,out,in,out,out,out,out,out,in,out,out,out
in,in,in,in,in,in,in,in,in,in,in,out,out,in,in,in,in,in,in,in,in,in,in,in,in,in,out,in,out,out,out,out,out,in,out,out,out,out,out,out,out,in,out,out,out,in,out,out,out,out,out,out,in,out,out,out,out,out,in,out,out,out
